flag_id,object_type,object_index,state_name,activity_count
0,alligator_busy_box,0,infovofrobot,18
1,alligator_busy_box,0,inhandofrobot,8
2,alligator_busy_box,0,inreachofrobot,8
3,alligator_busy_box,0,toggled,34
4,music_toy,0,infovofrobot,16
5,music_toy,0,inhandofrobot,0
6,music_toy,0,inreachofrobot,1
7,music_toy,0,noise,112
8,music_toy,0,toggled,97
9,farm_toy,0,infovofrobot,10
10,farm_toy,0,inhandofrobot,0
11,farm_toy,0,inreachofrobot,0
12,farm_toy,0,popup,0
13,farm_toy,0,toggled,0
14,piggie_bank,0,infovofrobot,5
15,piggie_bank,0,inhandofrobot,0
16,piggie_bank,0,inreachofrobot,0
17,piggie_bank,0,noise,0
18,piggie_bank,0,open,0
19,piggie_bank,0,toggled,0
20,rattle,0,infovofrobot,4
21,rattle,0,inhandofrobot,0
22,rattle,0,inreachofrobot,4
23,rattle,0,noise,24
24,winnie_cabinet,0,infovofrobot,8
25,winnie_cabinet,0,inhandofrobot,0
26,winnie_cabinet,0,inreachofrobot,0
27,winnie_cabinet,0,open,0
28,winnie_cabinet,0,toggled,0
