flag_id,object_type,object_index,state_name,activity_count
0,alligator_busy_box,0,infovofrobot,4
1,alligator_busy_box,0,inhandofrobot,0
2,alligator_busy_box,0,inreachofrobot,8
3,alligator_busy_box,0,toggled,15
4,music_toy,0,infovofrobot,4
5,music_toy,0,inhandofrobot,0
6,music_toy,0,inreachofrobot,0
7,music_toy,0,noise,0
8,music_toy,0,toggled,0
9,farm_toy,0,infovofrobot,8
10,farm_toy,0,inhandofrobot,0
11,farm_toy,0,inreachofrobot,0
12,farm_toy,0,popup,0
13,farm_toy,0,toggled,0
14,piggie_bank,0,infovofrobot,3
15,piggie_bank,0,inhandofrobot,0
16,piggie_bank,0,inreachofrobot,1
17,piggie_bank,0,noise,203
18,piggie_bank,0,open,221
19,piggie_bank,0,toggled,221
20,rattle,0,infovofrobot,9
21,rattle,0,inhandofrobot,0
22,rattle,0,inreachofrobot,2
23,rattle,0,noise,0
24,winnie_cabinet,0,infovofrobot,4
25,winnie_cabinet,0,inhandofrobot,0
26,winnie_cabinet,0,inreachofrobot,0
27,winnie_cabinet,0,open,0
28,winnie_cabinet,0,toggled,0
