"flag_id","object_type","object_index","state_name","activity_count"
"0","alligator_busy_box","0","infovofrobot","7"
"1","alligator_busy_box","0","inhandofrobot","0"
"2","alligator_busy_box","0","inreachofrobot","2"
"3","alligator_busy_box","0","toggled","3"
"4","music_toy","0","infovofrobot","11"
"5","music_toy","0","inhandofrobot","0"
"6","music_toy","0","inreachofrobot","4"
"7","music_toy","0","noise","42"
"8","music_toy","0","toggled","40"
"9","farm_toy","0","infovofrobot","10"
"10","farm_toy","0","inhandofrobot","0"
"11","farm_toy","0","inreachofrobot","5"
"12","farm_toy","0","popup","25"
"13","farm_toy","0","toggled","25"
"14","piggie_bank","0","infovofrobot","7"
"15","piggie_bank","0","inhandofrobot","0"
"16","piggie_bank","0","inreachofrobot","0"
"17","piggie_bank","0","noise","0"
"18","piggie_bank","0","open","0"
"19","piggie_bank","0","toggled","0"
"20","rattle","0","infovofrobot","7"
"21","rattle","0","inhandofrobot","1"
"22","rattle","0","inreachofrobot","1"
"23","rattle","0","noise","2"
"24","winnie_cabinet","0","infovofrobot","2"
"25","winnie_cabinet","0","inhandofrobot","0"
"26","winnie_cabinet","0","inreachofrobot","0"
"27","winnie_cabinet","0","open","0"
"28","winnie_cabinet","0","toggled","0"
